KC_term,gene
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IGLV11-55
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IGLV2-11
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IGLV2-14
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IGLV2-18
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IGLV2-23
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IGLV2-33
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IGLV2-8
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IGLV3-1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IGLV3-12
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IGLV3-16
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IGLV3-19
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IGLV3-21
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IGLV3-22
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IGLV3-25
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IGLV3-27
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IGLV4-3
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IGLV4-60
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IGLV4-69
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IGLV5-37
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IGLV5-45
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IGLV6-57
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IGLV7-43
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IGLV7-46
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IGLV8-61
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IKBIP
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IKBKB
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IKBKE
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IKBKG
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IL1B
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,ILF2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IMPDH1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IMPDH2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IQGAP1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IQGAP2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IRAG2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IRAK1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IRAK2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IRAK3
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IRAK4
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IRF3
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IRF7
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,ISG15
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,IST1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,ITCH
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,ITGAL
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,ITGAM
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,ITGAV
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,ITGAX
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,ITGB2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,ITK
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,ITLN1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,ITPR1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,ITPR2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,ITPR3
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,JUN
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,JUP
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,KCMF1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,KCNAB2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,KIR2DS1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,KIR2DS2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,KIR2DS4
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,KIR2DS5
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,KIR3DS1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,KLRC2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,KLRD1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,KLRK1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,KPNB1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,KRAS
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,KRT1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,LAIR1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,LAMP1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,LAMP2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,LAMTOR1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,LAMTOR2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,LAMTOR3
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,LAT
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,LAT2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,LBP
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,LCK
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,LCN2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,LCP2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,LEAP2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,LGALS3
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,LGMN
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,LILRA3
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,LILRB2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,LILRB3
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,LIMK1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,LPCAT1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,LPO
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,LRG1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,LRRC14
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,LRRC7
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,LRRFIP1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,LTA4H
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,LTF
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,LY86
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,LY96
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,LYN
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,LYZ
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,M
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MAGT1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MALT1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MAN2B1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MANBA
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MAP2K1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MAP2K3
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MAP2K4
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MAP2K6
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MAP2K7
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MAP3K1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MAP3K14
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MAP3K7
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MAP3K8
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MAPK1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MAPK10
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MAPK11
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MAPK12
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MAPK13
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MAPK14
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MAPK3
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MAPK7
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MAPK8
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MAPK9
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MAPKAPK2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MAPKAPK3
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MASP1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MASP2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MAVS
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MBL2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MCEMP1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MEF2A
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MEF2C
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MEFV
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MGAM
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MGST1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MIF
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MLEC
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MME
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MMP25
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MMP8
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MMP9
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MMTAG2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MNDA
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MOSPD2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MPO
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MRE11
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MS4A2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MS4A3
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MUC1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MUC12
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MUC13
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MUC15
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MUC16
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MUC17
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MUC19
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MUC2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MUC20
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MUC21
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MUC3A
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MUC3B
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MUC4
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MUC5AC
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MUC5B
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MUC6
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MUC7
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MUCL1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MVP
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MYD88
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MYH2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MYH9
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MYO10
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MYO1C
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MYO5A
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,MYO9B
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,N
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,N4BP1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NAPRT
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NBEAL2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NCF1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NCF2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NCF4
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NCK1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NCKAP1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NCKAP1L
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NCKIPSD
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NCR2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NCSTN
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NDUFC2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NEU1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NF2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NFAM1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NFASC
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NFATC1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NFATC2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NFATC3
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NFKB1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NFKB2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NFKBIA
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NFKBIB
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NHLRC3
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NIT2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NKIRAS1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NKIRAS2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NLRC3
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NLRC4
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NLRC5
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NLRP1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NLRP3
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NLRP4
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NLRX1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NME2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NOD1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NOD2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NOS1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NOS2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NOS3
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NPC2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,NRAS
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,OLFM4
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,OLR1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,ORM1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,ORM2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,ORMDL3
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,OSCAR
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,OSTF1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,OTUD5
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,P2RX1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,P2RX7
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PA2G4
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PADI2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PAFAH1B2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PAK1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PAK2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PAK3
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PANX1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PCBP2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PDAP1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PDPK1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PDXK
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PDZD11
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PECAM1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PELI1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PELI2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PELI3
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PFKL
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PGAM1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PGLYRP1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PGLYRP2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PGLYRP3
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PGLYRP4
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PGM1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PGM2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PGRMC1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PI3
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PIGR
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PIK3C3
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PIK3CA
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PIK3CB
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PIK3R1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PIK3R2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PIK3R4
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PIN1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PKM
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PKP1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PLA2G2A
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PLA2G6
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PLAC8
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PLAU
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PLAUR
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PLCG1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PLCG2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PLD1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PLD2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PLD3
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PLD4
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PLEKHO2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PLPP4
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PLPP5
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PNP
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,POLR1C
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,POLR1D
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,POLR2E
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,POLR2F
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,POLR2H
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,POLR2K
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,POLR2L
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,POLR3A
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,POLR3B
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,POLR3C
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,POLR3D
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,POLR3E
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,POLR3F
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,POLR3G
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,POLR3GL
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,POLR3H
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,POLR3K
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PPBP
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PPIA
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PPIE
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PPP2CA
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PPP2CB
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PPP2R1A
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PPP2R1B
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PPP2R5D
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PPP3CA
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PPP3CB
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PPP3R1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PRCP
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PRDX4
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PRDX6
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PRG2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PRG3
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PRKACA
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PRKACB
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PRKACG
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PRKCD
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PRKCE
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PRKCQ
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PRKCSH
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PRKDC
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PROS1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PRSS2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PRSS3
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PRTN3
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PSAP
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PSEN1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PSMA1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PSMA2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PSMA3
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PSMA4
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PSMA5
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PSMA6
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PSMA7
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PSMA8
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PSMB1
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PSMB10
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PSMB11
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PSMB2
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PSMB3
ALTERS EFFECTOR FUNCTION OF SPECIFIC CELL TYPES,PSMB4
